method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean
train_stage1b_kubric0708_step-002500_ctx08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_kubric_test5_compare_0708/train_stage1b_kubric0708_step-002500_ctx08_49f,17,17,0.6918,17,48.0465,17,34.2382,17,5.0317,17,4.9734,17,3.5294,0,0.0,17,2.1765
train_stage1b_kubric0708_step-002000_ctx08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_kubric_test5_compare_0708/train_stage1b_kubric0708_step-002000_ctx08_49f,17,17,0.693,17,46.6371,17,33.6553,17,4.9623,17,4.8973,17,3.5294,0,0.0,17,2.0588
train_stage1b_kubric0708_step-003000_ctx08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_kubric_test5_compare_0708/train_stage1b_kubric0708_step-003000_ctx08_49f,17,17,0.6949,17,45.0629,17,33.7076,17,5.0608,17,5.0085,17,3.4706,0,0.0,17,2.1176
train_stage1b_kubric0708_step-003500_ctx08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_kubric_test5_compare_0708/train_stage1b_kubric0708_step-003500_ctx08_49f,17,17,0.6936,17,51.0076,17,37.5135,17,5.0771,17,5.0301,17,3.4706,0,0.0,17,2.4706
train_stage1b_kubric0708_step-002500_ctx08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-002500_ctx08_49f,67,67,0.6871,67,30.6767,67,27.1025,67,4.0868,67,4.0041,67,3.597,0,0.0,67,3.7313
train_stage1b_kubric0708_step-002000_ctx08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-002000_ctx08_49f,3,3,0.6939,3,24.4033,3,21.4533,3,3.4464,3,3.3256,3,3.6667,0,0.0,3,4.0
physRVG_steps16_480x832_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_kubric_test5_compare_0708/test_5/physRVG_steps16_480x832_08_49f,17,17,0.6978,17,40.3676,17,24.4082,17,5.1143,17,5.0577,17,3.5882,0,0.0,17,1.6471
physRVG_steps40_512x896_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/physRVG_steps40_512x896_08_49f,67,67,0.683,67,38.7525,67,35.8796,67,4.4079,67,4.3372,67,3.7463,0,0.0,67,4.4478
train_stage1b_kubric0708_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_kubric_test5_compare_0708/train_stage1b_kubric0708_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,17,17,0.6968,17,49.2635,17,38.0694,17,4.9692,17,4.9295,17,3.4118,0,0.0,17,2.1765
train_stage1b_kubric0708_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6891,67,29.2925,67,26.5551,67,3.897,67,3.8206,67,3.5672,0,0.0,67,3.6866
run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_kubric_test5_compare_0705/run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_defaultnegprompt,17,17,0.6904,17,36.8941,17,22.5,17,5.0651,17,4.9896,17,3.4706,0,0.0,17,2.4118
run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_diffsynth_native0705_0705/run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6851,67,32.3431,67,28.3807,67,4.294,67,4.2289,67,3.6866,0,0.0,67,3.9851
raw_phys_state_wan_lora_continue_576x1024_f24_step-000500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/loramodel/wan_openvid_0613pybullet_lorav2v_step000500_aligned49_steps40_512x896_ctx08_49f_defaultnegprompt,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
openvid_mixed_ctx24_384x672_lora_step-010000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/loramodel/wan_openvid_lorav2v_step10000_aligned49_steps40_512x896_ctx08_49f_defaultnegprompt,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
wan2p2_ti2v5B_aligned49_steps40_512x896_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/basemodel/wan2p2_ti2v5B_aligned49_steps40_512x896_49f_defaultnegprompt,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
